,,,,,N(H2) vs N(OH),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,tauNH,er,tNH2,er,ebver,ebvNH,er,eNH2,er,rNH,er,rNH2,er,Av,OH?,N(OH),er
1,3C33,129.4481,-49.3244,3.66,0.05,3.0133538533,0.1451177021,-0.3233230734,0.0767449468,0.0017,2.6313672,0.2164600526,-0.5143164,0.1110798748,2.8487666902,0.1587613176,-0.4056166549,0.0832243293,0.0722,0,0,0
2,3C18,118.6218,-52.7266,7.75,1.23,15.7903871845,0.7503188598,4.0201935923,0.7203954455,0.0175,15.890724,2.0772654292,4.070362,1.2070554734,13.4856327871,0.744097885,2.8678163936,0.7187805059,0.4244,1,0.398,0.22794385
3,3C141.0,174.5324,-1.3112,66.65,1.89,73.6131603932,2.9911151928,3.4815801966,1.7691007671,0.0212,61.170744,3.2995720051,-2.739628,1.9012676966,44.8802381944,2.2158453025,-10.8848809028,1.456199712,1.7177,0,0,0
4,3C142.1,197.6157,-14.5115,27.84,2.9,29.9745177298,1.4587841129,1.0672588649,1.6231182249,0.0145,32.0776192,2.0293692535,2.1188096,1.7697697285,33.0341034928,1.8555424163,2.5970517464,1.7214120409,0.8998,0,0,0
5,3C138,187.405,-11.3434,26.43,2.89,30.1137804547,1.5505171226,1.8418902274,1.6398325637,0.0171,28.8994744,2.2186993071,1.2347372,1.8217249117,22.6928990617,1.3305242349,-1.8685504692,1.5907855559,0.7798,0,0,0
6,3C75-2,170.2958,-44.9192,10.5,0.27,16.1127005676,0.743190992,2.8063502838,0.3953583345,0.0044,17.5766216,0.8176736528,3.5383108,0.4305491268,14.0511480578,0.7585117169,1.7755740289,0.4025667723,0.4806,0,0,0
7,3C75-1,170.2162,-44.9112,10.18,0.26,15.39236342,0.7269583003,2.60618171,0.3860273211,0.0044,17.2121032,0.8071294483,3.5160516,0.4239864226,13.2325300482,0.7268423543,1.5262650241,0.3859727348,0.4681,0,0,0
8,3C409,63.3981,-6.1216,31.69,3.53,61.6032530252,3.049009125,14.9566265126,2.3322390875,0.026,65.4880088,3.8165115389,16.8990044,2.5993585904,48.7937294322,2.7757960721,8.5518647161,2.2453253569,1.8029,1,0.1902,0.24647617
9,3C33-1,129.4392,-49.3432,3.68,0.15,2.9300953567,0.1586980161,-0.3749523217,0.109184546,0.0019,2.5402376,0.2357136489,-0.5698812,0.1396969258,2.6979265484,0.1645526933,-0.4910367258,0.1113301272,0.0718,0,0,0
10,3C79,164.1487,-34.4565,12.15,1.3,12.8588271642,0.6864304068,0.3544135821,0.7350487575,0.0025,12.53032,0.5414972826,0.19016,0.7041340971,9.6237980176,0.5803273858,-1.2631009912,0.711825097,0.3404,0,0,0
11,3C78,174.8581,-44.5133,13.74,1.93,17.3420137069,1.0671412602,1.8010068535,1.1026888125,0.0024,16.8475848,0.6769134958,1.5537924,1.0226328619,13.9908024766,0.9461302613,0.1254012383,1.0747165291,0.4573,0,0,0
