,,,,,N(H) from Dust,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,t353(e6),er,tauNH,er,E(B-V),er,ebvNH,er,R(e11),er,rNH,er,Av,OH?,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic
1,3C33,129.4481,-49.3244,3.66,0.05,2.1640039449,0.0709781034,3.0133538533,0.1451177021,0.0231,0.0017,2.6313672,0.2164600526,0.6120654206,0.025650815,2.8487666902,0.1587613176,0.0722,0,0,0,0,1,0,0,1
2,3C18,118.6218,-52.7266,7.75,1.23,11.3396772576,0.3611821739,15.7903871845,0.7503188598,0.1395,0.0175,15.890724,2.0772654292,2.8974255883,0.1192890691,13.4856327871,0.744097885,0.4244,1,1,0,0,0,0,0,0
3,3C141.0,174.5324,-1.3112,66.65,1.89,52.8644086444,1.0673138604,73.6131603932,2.9911151928,0.537,0.0212,61.170744,3.2995720051,9.6426435903,0.3180832086,44.8802381944,2.2158453025,1.7177,0,0,0,1,0,0,0,0
4,3C142.1,197.6157,-14.5115,27.84,2.9,21.525840566,0.7220351108,29.9745177298,1.4587841129,0.2816,0.0145,32.0776192,2.0293692535,7.0974687105,0.3015917278,33.0341034928,1.8555424163,0.8998,0,0,0,0,1,0,0,1
5,3C138,187.405,-11.3434,26.43,2.89,21.6258504224,0.8113784133,30.1137804547,1.5505171226,0.2537,0.0171,28.8994744,2.2186993071,4.8756322713,0.2228008273,22.6928990617,1.3305242349,0.7798,0,0,0,0,1,0,0,1
6,3C75-2,170.2958,-44.9192,10.5,0.27,11.5711427497,0.3440472938,16.1127005676,0.743190992,0.1543,0.0044,17.5766216,0.8176736528,3.0189281119,0.1194135277,14.0511480578,0.7585117169,0.4806,0,0,0,1,0,0,0,0
7,3C75-1,170.2162,-44.9112,10.18,0.26,11.0538412628,0.3472950993,15.39236342,0.7269583003,0.1511,0.0044,17.2121032,0.8071294483,2.8430457633,0.1161011397,13.2325300482,0.7268423543,0.4681,0,0,0,1,0,0,0,0
8,3C409,63.3981,-6.1216,31.69,3.53,44.2396376457,1.5365076251,61.6032530252,3.049009125,0.5749,0.026,65.4880088,3.8165115389,10.4834680315,0.4553741785,48.7937294322,2.7757960721,1.8029,1,1,0,0,0,0,0,0
9,3C33-1,129.4392,-49.3432,3.68,0.15,2.1042128537,0.0865045422,2.9300953567,0.1586980161,0.0223,0.0019,2.5402376,0.2357136489,0.579656998,0.0282226602,2.6979265484,0.1645526933,0.0718,0,0,0,1,0,0,0,0
10,3C79,164.1487,-34.4565,12.15,1.3,9.2344125733,0.370095222,12.8588271642,0.6864304068,0.11,0.0025,12.53032,0.5414972826,2.0676996826,0.098877602,9.6237980176,0.5803273858,0.3404,0,0,0,0,0,1,0,1
11,3C78,174.8581,-44.5133,13.74,1.93,12.4539592434,0.6280488378,17.3420137069,1.0671412602,0.1479,0.0024,16.8475848,0.6769134958,3.0059626965,0.1706709055,13.9908024766,0.9461302613,0.4573,0,0,0,0,1,0,0,1
