,,,,,,Summary HI,,,,,,,,,,No CO & no OH:,,,,,,OK src:,,OH detection limit:,,Low-N(HI):,,,,,,,,,
,,,,,,,,,,,,,,,,21,,,,,,34,,0.003999,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,N(HI,er,N*(HI),er,CNM,er,WNM,er,E(B-V)SF2011,Er,Av,MS,SPONGE,HI,CO,OH,N(OH)67/e14,er,TauSig(1665),TauSig1667,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic,Note:,,"Cat1: No OH&CO detection, sigmaOH67<0.004:",,
93,3C345,63.455,40.9489,1.01,0.13,1.0397,0.0205,0,0.0002,1.01,0.1285,0.0112,0.0006,0.035,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,16,,
79,3C223,188.4071,48.65994,1.31,1.62,1.3131,1.616,0,0,1.31,1.616,0.0102,0.0003,0.0308,1,0,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,No OH data,,,,
72,3C286,56.5241,80.6747,1.34,0.09,1.4944,0.1101,0.06,0.0241,1.28,0.0876,0.01,0.0005,0.0306,1,1,1,-1,0,0,0,0.000784544,0.000713391,0,0,0,0,1,0,1,,,"Cat2: No CO data; No OH, sigmaOH67<0.004:",,
60,4C32.44,67.2335,81.0477,1.36,0.09,1.5775,0.1181,0.17,0.0869,1.19,0.0313,0.0133,0.0004,0.0413,1,1,1,-1,0,0,0,0.000950732,0.000988342,0,0,0,0,1,0,1,,,18,,
22,3C236,190.064,53.9808,1.52,0.05,1.4889,1.3593,0,0,1.52,0.0486,0.0097,0.0004,0.0293,1,0,1,-1,0,0,0,0.00123876,0.0010722,0,0,0,0,1,0,1,,,,,
48,3C293,54.6071,76.0603,1.61,0.06,1.6325,1.2199,0,0,1.61,0.0575,0.0137,0.0006,0.0446,1,0,1,-1,0,0,0,0.000676758,0.000623513,0,0,0,0,1,0,1,,,"cat3: Low-N(HI), N(HI)<1e20:",,
56,P1117+14,240.438,65.7884,1.98,0.02,1.9425,0.3294,0,0,1.98,0.0223,0.025,0.0007,0.0773,1,0,1,-1,0,0,0,0.00149742,0.00149999,0,0,0,0,1,0,1,,,0,,
21,3C234,200.205,52.7049,2.03,0.06,2.0643,1.2706,0,0,2.03,0.0551,0.0163,0.0003,0.0498,1,0,1,-1,0,0,0,0.00119828,0.00126593,0,0,0,0,1,0,1,,,,,
61,3C263.1,228.2701,74.3753,2.12,0.06,2.1082,0.381,0,0,2.12,0.0581,0.02,0.0006,0.0627,1,0,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,"Low-N(H), <3e20:",,
41,P1055+20,222.5101,63.1302,2.14,0.06,1.9824,0.0765,0.62,0.049,1.52,0.0295,0.0211,0.0008,0.0657,1,0,1,0,0,0,0,0.0058694,0.00613946,0,0,1,0,0,0,0,,,18,,
57,3C264.0,236.9959,73.6422,2.18,0.03,2.2173,0.4391,0,0,2.18,0.0318,0.0201,0.0004,0.0622,1,0,1,-1,0,0,0,0.000688453,0.000629496,0,0,0,0,1,0,1,,,,,
38,3C273,289.9509,64.36,2.37,0.19,2.5482,0.053,0.05,0.1901,2.32,0.0271,0.0179,0.0004,0.055,1,1,1,0,0,0,0,0.00181389,0.00209963,0,0,0,1,0,0,1,,,OH detected:,,
80,4C12.50,347.223,70.1718,2.37,0.11,2.5519,0.1045,0.36,0.1107,2.01,0.0262,0.0286,0.0005,0.0893,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,19,19,
85,3C298,352.1602,60.6666,2.39,0.38,2.5657,0.0969,0.06,0.3694,2.33,0.0851,0.0249,0.0008,0.0785,0,1,1,-1,0,0,0,0.000927598,0.00106882,0,0,0,0,1,0,1,,,,,
23,3C237,232.1171,46.6273,2.6,0.23,2.614,0.07,0.17,0.1982,2.43,0.1119,0.0171,0.0004,0.0534,1,1,1,0,0,0,0,0.00436985,0.00476852,0,0,1,0,0,0,0,,,CO detected:,,
68,3C245,233.1247,56.3009,2.68,0.05,2.6835,0.1675,0.72,0.0375,1.95,0.0283,0.0215,0.0008,0.0653,1,0,1,0,0,0,0,0.00100547,0.00113624,0,0,0,1,0,0,1,,,19,,
67,4C07.32,322.2286,68.835,2.7,0.04,2.6159,0.3236,0.44,0.0287,2.26,0.0307,0.0271,0.0003,0.0836,1,0,1,-1,0,0,0,0.00300505,0.00306994,0,0,0,0,1,0,1,,,,,
39,3C267.0,256.3418,70.1102,2.94,0.03,2.9277,0.3964,0,0,2.94,0.034,0.0285,0.0008,0.0903,1,0,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,Molecular :,,Atomic:
40,DW0742+10,209.796,16.5911,3.06,0.05,3.0723,1.0049,0,0,3.06,0.0548,0.0219,0.0005,0.0675,1,0,1,-1,0,0,0,0.00078319,0.000800536,0,0,0,0,1,0,1,,,20,,34
76,3C274.1,269.8744,83.1637,3.08,0.05,2.8804,0.1513,0.48,0.0332,2.6,0.0369,0.0252,0.0006,0.0766,1,0,1,0,0,0,0,0.00129983,0.00131332,0,0,0,1,0,0,1,,,,,
65,3C272.1,280.6321,74.6873,3.19,0.05,3.0568,0.382,0.63,0.04,2.56,0.0312,0.034,0.0018,0.1065,1,0,1,-1,0,0,0,0.00107275,0.00102396,0,0,0,0,1,0,1,,,Observed-HI-only:,,Semi-atomic:
45,4C19.44,8.9924,73.0418,3.34,0.06,3.3168,0.6757,0,0,3.34,0.0566,0.0501,0.0024,0.1556,1,0,1,-1,0,0,0,0.00636759,0.00608293,0,0,1,0,0,0,0,,,18,,21
25,3C228.0,220.8313,46.6355,3.37,0.06,3.3582,0.1991,0.55,0.0296,2.82,0.0465,0.0288,0.0011,0.0895,1,0,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
58,3C208.1,213.6015,33.583,3.48,0.07,3.5092,0.2013,0,0,3.48,0.0658,0.0269,0.0028,0.0804,1,0,1,-1,0,0,0,0.0016867,0.00186726,0,0,0,0,1,0,1,,,,,
54,4C20.33,20.1848,66.8341,3.52,0.07,3.385,0.2777,0.8,0.0427,2.72,0.0497,0.036,0.001,0.1131,1,0,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
74,3C190.0,207.6242,21.8412,3.55,0.05,3.7057,1.0167,0,0,3.55,0.0518,0.0263,0.0009,0.0824,1,0,1,-1,0,0,0,0.00193383,0.00175741,0,0,0,0,1,0,1,,,,,
1,3C33,129.4481,-49.3244,3.66,0.05,3.5581,0.0857,2.22,0.0306,1.44,0.045,0.0231,0.0017,0.0722,1,0,1,0,0,0,0,0.00139182,0.00121437,0,0,0,1,0,0,1,,,,,
9,3C33-1,129.4392,-49.3432,3.68,0.15,3.5146,1.0563,2.59,0.1185,1.08,0.0951,0.0223,0.0019,0.0718,1,0,1,-1,0,0,0,0.00494482,0.00408653,0,0,1,0,0,0,0,,,,,
59,3C208.0,213.6628,33.1608,3.77,0.06,3.84,0.204,0,0,3.77,0.0564,0.0287,0.0009,0.0902,1,0,1,-1,0,0,0,0.00182362,0.0019689,0,0,0,0,1,0,1,,,,,
33,3C33-2,129.462,-49.2774,3.83,0.2,3.624,1.2619,2.55,0.1562,1.29,0.1226,0.024,0.0012,0.0758,1,0,1,-1,0,0,0,0.0146532,0.0154013,0,0,1,0,0,0,0,,,,,
66,3C225a,219.8662,44.0249,4.24,0.3,4.1902,0.1057,1.19,0.2965,3.05,0.0595,0.0467,0.0032,0.1451,1,1,1,0,0,0,0,0.00867123,0.00976312,0,0,1,0,0,0,0,,,,,
62,3C225b,220.0101,44.0084,4.55,0.21,4.171,0.0939,0.98,0.176,3.57,0.1148,0.046,0.0027,0.1462,1,1,1,0,0,0,0,0.00493186,0.00400359,0,0,1,0,0,0,0,,,,,
81,4C04.51,7.2923,47.747,4.55,0.13,4.6706,0.1074,0.24,0.0608,4.31,0.1126,0.0433,0.0012,0.135,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
18,3C310,38.5004,60.2098,4.79,0.12,4.3868,0.0733,1.51,0.0978,3.28,0.0702,0.0348,0.0015,0.1095,1,0,1,0,0,0,0,0.00169883,0.00161939,0,0,0,1,0,0,1,,,,,
89,3C48,133.9626,-28.7194,4.95,0.41,5.121,0.1622,0.7,0.3565,4.25,0.194,0.0377,0.0007,0.1165,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
36,3C192,197.9126,26.4098,5.07,0.06,4.9891,0.0808,0.66,0.0379,4.41,0.0413,0.0471,0.0013,0.148,1,0,1,0,0,0,0,0.00159108,0.00206581,0,0,0,1,0,0,1,,,,,
34,P0820+22,201.3636,29.6761,5.33,0.27,5.3209,1.1824,0,0,5.33,0.2663,0.0359,0.0011,0.1101,1,0,1,-1,0,0,0,0.000804122,0.000709089,0,0,0,0,1,0,1,,,,,
84,J2232,77.4379,-38.5824,5.5,0.41,5.6861,0.2157,1.21,0.3688,4.29,0.1682,0.0612,0.0015,0.1914,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
28,3C318,29.9821,54.7856,6.06,0.19,5.3113,0.0708,2.28,0.1824,3.78,0.0609,0.0539,0.0014,0.1679,1,0,1,0,0,0,0,0.00465188,0.00472419,0,0,1,0,0,0,0,,,,,
19,3C315,39.3605,58.303,6.1,0.48,5.1819,0.0544,2.88,0.2604,3.21,0.4054,0.053,0.0007,0.1654,1,0,1,0,0,0,0,0.00137524,0.00129648,0,0,0,1,0,0,1,,,,,
