,,,,,Old HI data,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#,Name,l,b,N(HI),er,N*(HI),er,CNM,er,WNM,er
14,T0526+24,181.3551,-5.1933,122.42,82.21,39.2605,1.082,82.1788,82.1788,1.7912,T0526+24
26,4C22.12,188.0524,0.047,107.73,19.28,51.5813,0.5648,18.7121,18.7121,4.5767,4C22.12
78,T0629+10,201.5315,0.5079,74.89,3.68,57.1009,0.5573,3.2839,3.2839,1.5881,T0629+10
55,T0556+19,190.0893,-2.1665,67.79,40.33,58.5976,1.1322,0,0,40.3306,T0556+19
3,3C141.0,174.5324,-1.3112,66.6,1.96,51.701,0.8222,1.6038,1.6038,1.0634,3C141.0
47,3C167,207.3119,1.1529,63.5,3.1,54.3362,0.4937,2.9129,2.9129,0.9835,3C167
63,3C410,69.2117,-3.7691,59.69,6.69,48.3433,0.6858,6.6415,6.6415,0.8142,3C410
24,3C154,185.5941,4.0066,45.94,14.94,39.9226,0.3187,14.9369,14.9369,0.4923,3C154
27,NRAO140,159.0002,-18.7646,37.28,23.05,13.8737,1.0889,8.0699,8.0699,21.5898,NRAO140
83,3C111,161.6756,-8.8197,36.43,4.42,29.2823,0.2045,3.7799,3.7799,2.2911,3C111
17,3C131,171.4368,-7.7967,36.09,2.1,28.239,0.6613,1.8474,1.8474,0.9761,3C131
15,3C133,177.7259,-9.9122,35.98,4.05,29.4303,0.4739,4.0212,4.0212,0.4604,3C133
86,B2050,78.8581,-5.1238,33.86,2.42,27.4539,0.0869,2.0238,2.0238,1.3301,B2050
8,3C409,63.3981,-6.1216,31.69,3.53,28.3785,0.2834,3.4882,3.4882,0.549,3C409
31,P0531+19,186.7634,-7.1085,30.13,0.87,28.1437,0.4322,0.7788,0.7788,0.3175,P0531+19
16,3C132,178.8598,-12.5219,30.1,1.64,25.3079,0.3163,1.4949,1.4949,0.6663,3C132
44,P0428+20,176.8082,-18.5568,30.2,3.13,22.3173,0.7771,3.0106,3.0106,0.8422,P0428+20
87,PKS0531,186.7617,-7.1076,28.84,9.72,28.2709,0.568,9.6105,9.6105,1.4837,PKS0531
4,3C142.1,197.6157,-14.5115,27.76,2.92,21.7737,0.9385,2.8403,2.8403,0.6724,3C142.1
5,3C138,187.405,-11.3434,26.43,2.89,21.7788,0.3457,2.8343,2.8343,0.5825,3C138
20,3C109,181.828,-27.7769,26.32,1.29,17.6634,0.7618,0.9906,0.9906,0.8011,3C109
53,3C123,170.5817,-11.661,24.55,4.8,19.2863,0.4344,4.4112,4.4112,1.9026,3C123
51,3C120,190.3729,-27.3968,22.22,2.26,11.7434,0.1283,2.2433,2.2433,0.2632,3C120
71,4C13.67,43.4971,9.154,21.13,1.12,17.3524,0.2613,0.9369,0.9369,0.6032,4C13.67
91,3C147,161.6864,10.2984,20.59,1.95,19.1262,0.2988,1.7891,1.7891,0.7815,3C147
50,3C105,187.6326,-33.609,18.56,1.87,12.0414,0.7804,1.8417,1.8417,0.2685,3C105
64,P0347+05,182.2737,-35.7311,17,0.97,14.3871,0.8932,0.95,0.95,0.1932,P0347+05
