,,,,,Origin HI data,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#,Name,l,b,N(HI),er,N*(HI),er,CNM,er,WNM,er
14,T0526+24,181.3551,-5.1933,96.85,65.03,31.0605,0.8091,65.0118,65.0118,1.3971,1.3971
26,4C22.12,188.0524,0.047,85.23,15.23,40.808,0.2545,14.796,14.796,3.6096,3.6096
78,T0629+10,201.5315,0.5079,59.25,2.86,45.1748,0.1705,2.5766,2.5766,1.2404,1.2404
55,T0556+19,190.0893,-2.1665,53.63,31.9,46.3589,0.7926,0,0,31.9035,31.9035
3,3C141.0,174.5324,-1.3112,52.69,1.48,40.9027,0.5363,1.2509,1.2509,0.7996,0.7996
47,3C167,207.3119,1.1529,50.24,2.41,42.9875,0.0537,2.2877,2.2877,0.7583,0.7583
63,3C410,69.2117,-3.7691,59.69,6.69,48.3433,0.6858,6.6415,6.6415,0.8142,0.8142
24,3C154,185.5941,4.0066,45.94,14.94,39.9226,0.3187,14.9369,14.9369,0.4923,0.4923
27,NRAO140,159.0002,-18.7646,29.49,18.23,10.976,0.8558,6.3833,6.3833,17.0799,17.0799
83,3C111,161.6756,-8.8197,36.43,4.42,29.2823,0.2045,3.7799,3.7799,2.2911,2.2911
17,3C131,171.4368,-7.7967,28.55,1.64,22.341,0.483,1.458,1.458,0.7564,0.7564
15,3C133,177.7259,-9.9122,35.98,4.05,29.4303,0.4739,4.0212,4.0212,0.4604,0.4604
86,B2050,78.8581,-5.1238,33.86,2.42,27.4539,0.0869,2.0238,2.0238,1.3301,1.3301
8,3C409,63.3981,-6.1216,31.69,3.53,28.3785,0.2834,3.4882,3.4882,0.549,0.549
31,P0531+19,186.7634,-7.1085,23.84,0.65,22.2656,0.2771,0.6101,0.6101,0.2157,0.2157
16,3C132,178.8598,-12.5219,23.81,1.28,20.0221,0.1736,1.1807,1.1807,0.5067,0.5067
44,P0428+20,176.8082,-18.5568,23.89,2.47,17.6561,0.5939,2.381,2.381,0.6485,0.6485
87,PKS0531,186.7617,-7.1076,28.84,9.72,28.2709,0.568,9.6105,9.6105,1.4837,1.4837
4,3C142.1,197.6157,-14.5115,21.96,2.3,17.226,0.7261,2.2459,2.2459,0.5171,0.5171
5,3C138,187.405,-11.3434,26.43,2.89,21.7788,0.3457,2.8343,2.8343,0.5825,0.5825
20,3C109,181.828,-27.7769,20.82,1,13.9742,0.5894,0.7712,0.7712,0.632,0.632
53,3C123,170.5817,-11.661,24.55,4.8,19.2863,0.4344,4.4112,4.4112,1.9026,1.9026
51,3C120,190.3729,-27.3968,22.22,2.26,11.7434,0.1283,2.2433,2.2433,0.2632,0.2632
71,4C13.67,43.4971,9.154,16.72,0.87,13.7282,0.1657,0.7404,0.7404,0.4632,0.4632
91,3C147,161.6864,10.2984,20.59,1.95,19.1262,0.2988,1.7891,1.7891,0.7815,0.7815
50,3C105,187.6326,-33.609,14.68,1.47,9.5264,0.6114,1.4534,1.4534,0.2104,0.2104
64,P0347+05,182.2737,-35.7311,13.45,0.76,11.3822,0.6992,0.7487,0.7487,0.1424,0.1424
82,4C33.48,66.3887,8.3713,15.76,3.04,15.3627,0.1902,3.0009,3.0009,0.4809,0.4809
