#  src           ebv    NHI     NH               NH-NHI
                        1e20    1e20              1e20
===============================================================================
0 3C33      	0.0231 	3.51 	2.50324777 	-1.00675223
1 3C64      	0.0795 	8.0 	7.75051765 	-0.24948235
2 3C78      	0.1479 	13.74 	14.11422793 	0.37422793
3 3C98      	0.193 	13.93 	18.3101831 	4.3801831
4 3C120      	0.2554 	22.22 	24.11567318 	1.89567318
5 3C138      	0.2537 	26.43 	23.95751079 	-2.47248921
6 3C142.1      	0.2816 	27.76 	26.55323472 	-1.20676528
7 3C192      	0.0471 	5.02 	4.73612857 	-0.28387143
8 3C237      	0.0171 	2.6 	1.94502757 	-0.65497243
9 3C245      	0.0215 	2.57 	2.35438905 	-0.21561095
10 P1055+20     0.0211 	1.98 	2.31717437 	0.33717437
11 3C273      	0.0179 	2.37 	2.01945693 	-0.35054307
12 3C274.1      0.0252 	2.98 	2.69862484 	-0.28137516
13 3C310      	0.0348 	4.69 	3.59177716 	-1.09822284
14 3C315      	0.053 	6.03 	5.2850451 	-0.7449549
15 3C318      	0.0539 	6.0 	5.36877813 	-0.63122187
16 3C333      	0.0756 	6.43 	7.38767452 	0.95767452
17 3C348      	0.0821 	7.19 	7.99241307 	0.80241307
18 4C13.65      0.1189 	11.58 	11.41616363 	-0.16383637
19 3C234      	0.0163 	2.04 	1.87059821 	-0.16940179
20 3C236      	0.0097 	1.53 	1.25655599 	-0.27344401
21 3C267.0      0.0285 	2.95 	3.00564595 	0.05564595
22 DW0742+10    0.0219 	3.07 	2.39160373 	-0.67839627
23 3C293      	0.0137 	1.62 	1.62870279 	0.00870279
24 4C20.33      0.0294 	3.4 	3.08937898 	-0.31062102
25 P1117+14     0.025 	1.98 	2.6800175 	0.7000175
26 3C264.0      0.0287 	2.19 	3.02425329 	0.83425329
27 4C32.44      0.0133 	1.36 	1.59148811 	0.23148811
28 3C263.1      0.02 	2.12 	2.214834 	0.094834
29 3C272.1      0.0228 	3.02 	2.47533676 	-0.54466324
30 4C07.32      0.0271 	2.67 	2.87539457 	0.20539457
31 3C286      	0.01 	1.34 	1.284467 	-0.055533
32 4C12.50      0.0286 	2.37 	3.01494962 	0.64494962
33 3C298      	0.0249 	2.39 	2.67071383 	0.28071383
34 3C345      	0.0112 	1.01 	1.39611104 	0.38611104
