src        l            b          E(B-V)        Err        N(H)      err         N(HI)      err        N(H2)      err
==========================================================================================================================
3C33       129.4481   -49.3244     0.023100     0.001700   002.4992   000.2691   003.5100   000.0600   -00.5054   000.1378
3C18       118.6218   -52.7266     0.139500     0.017500   013.3291   001.8631   007.5700   001.2000   002.8795   001.1081
3C141.0    174.5324   -01.3112     0.537000     0.021200   050.3125   003.9612   066.6000   001.9600   -08.1438   002.2098
3C142.1    197.6157   -14.5115     0.281600     0.014500   026.5501   002.2547   027.7600   002.9200   -00.6050   001.8446
3C138      187.4050   -11.3434     0.253700     0.017100   023.9542   002.2770   026.4300   002.8900   -01.2379   001.8396
3C75-2     170.2958   -44.9192     0.154300     0.004400   014.7061   001.0795   010.4000   000.2800   002.1530   000.5576
3C75-1     170.2162   -44.9112     0.151100     0.004400   014.4083   001.0609   010.0700   000.2700   002.1692   000.5473
3C409      063.3981   -06.1216     0.574900     0.026000   053.8387   004.4015   031.6900   003.5300   011.0743   002.8211
3C33-1     129.4392   -49.3432     0.022300     0.001900   002.4248   000.2778   003.5500   000.1600   -00.5626   000.1603
3C79       164.1487   -34.4565     0.110000     0.002500   010.5844   000.7575   011.8400   001.3100   -00.6278   000.7566
3C78       174.8581   -44.5133     0.147900     0.002400   014.1106   000.9842   013.7400   001.9300   000.1853   001.0832
3C98-1     179.8593   -31.0859     0.190000     0.006700   018.0276   001.3741   013.1100   000.4500   002.4588   000.7230
3C75       170.2558   -44.9111     0.154700     0.004500   014.7433   001.0854   009.9700   000.2400   002.3866   000.5558
T0526+24   181.3551   -05.1933     1.003200     0.017000   093.6877   006.6046   122.4200   082.2100   -14.3661   041.2374
3C133      177.7259   -09.9122     0.771900     0.044200   072.1676   006.4239   035.9800   004.0500   018.0938   003.7970
3C132      178.8598   -12.5219     0.426600     0.011800   040.0409   002.9431   030.1000   001.6400   004.9704   001.6846
3C131      171.4368   -07.7967     0.834700     0.017400   078.0105   005.5763   036.0900   002.1000   020.9602   002.9793
3C310      038.5004   060.2098     0.034800     0.001500   003.5878   000.3075   004.6900   000.1300   -00.5511   000.1669
3C315      039.3605   058.3030     0.053000     0.000700   005.2811   000.3802   006.0300   000.4800   -00.3744   000.3062
3C109      181.8280   -27.7769     0.504200     0.031900   047.2608   004.3835   026.3200   001.2900   010.4704   002.2847
3C234      200.2050   052.7049     0.016300     0.000300   001.8666   000.1929   002.0400   000.0500   -00.0867   000.0997
3C236      190.0640   053.9808     0.009700     0.000400   001.2525   000.1756   001.5300   000.0500   -00.1388   000.0913
3C237      232.1171   046.6273     0.017100     0.000400   001.9410   000.1973   002.6000   000.2300   -00.3295   000.1515
3C154      185.5941   004.0066     0.543100     0.030700   050.8800   004.4975   045.9400   014.9400   002.4700   007.8011
3C228.0    220.8313   046.6355     0.028800     0.001100   003.0296   000.2645   003.3000   000.0600   -00.1352   000.1356
4C22.12    188.0524   000.0470     0.823000     0.014000   076.9219   005.4202   107.7300   019.2800   -15.4040   010.0137
NRAO140    159.0002   -18.7646     0.613800     0.076200   057.4580   008.1038   037.2800   023.0500   010.0890   012.2165
3C318      029.9821   054.7856     0.053900     0.001400   005.3649   000.4015   006.0000   000.2000   -00.3176   000.2243
3C64       157.7658   -48.2032     0.079500     0.003300   007.7467   000.6148   008.0000   000.2400   -00.1267   000.3300
3C454.0    088.1001   -35.9413     0.049900     0.002100   004.9927   000.4068   006.8000   000.1500   -00.9037   000.2168
P0531+19   186.7634   -07.1085     0.302200     0.008500   028.4667   002.0928   030.1300   000.8700   -00.8317   001.1332
3C454.3    086.1110   -38.1838     0.088900     0.004100   008.6213   000.7027   007.9000   015.7500   000.3606   007.8828
3C33-2     129.4620   -49.2774     0.024000     0.001200   002.5830   000.2482   003.6900   000.1900   -00.5535   000.1563
P0820+22   201.3636   029.6761     0.035900     0.001100   003.6901   000.2978   005.3500   000.2700   -00.8299   000.2010
3C333      037.3001   042.9721     0.075600     0.001100   007.3838   000.5191   006.4300   000.4200   000.4769   000.3339
3C192      197.9126   026.4098     0.047100     0.001300   004.7322   000.3617   005.0200   000.0700   -00.1439   000.1842
3C98       179.8374   -31.0490     0.193000     0.005400   018.3067   001.3413   013.9300   000.5300   002.1884   000.7211
3C273      289.9509   064.3600     0.017900     0.000400   002.0154   000.2002   002.3700   000.1900   -00.1773   000.1380
3C267.0    256.3418   070.1102     0.028500     0.000800   003.0016   000.2536   002.9500   000.0500   000.0258   000.1292
DW0742+10  209.7960   016.5911     0.021900     0.000500   002.3876   000.2176   003.0700   000.0600   -00.3412   000.1129
P1055+20   222.5101   063.1302     0.021100     0.000800   002.3131   000.2221   001.9800   000.0500   000.1666   000.1138
3C433      074.4764   -17.6945     0.124700     0.007700   011.9521   001.0834   010.3800   002.1000   000.7860   001.1815
3C172.0    191.2045   013.4105     0.056600     0.000900   005.6161   000.4043   009.7500   000.2000   -02.0670   000.2255
P0428+20   176.8082   -18.5568     0.457000     0.030900   042.8693   004.1010   030.2000   003.1300   006.3346   002.5795
4C19.44    008.9924   073.0418     0.050100     0.002400   005.0113   000.4218   003.3500   000.0600   000.8307   000.2130
3C353      021.1108   019.8770     0.378400     0.006700   035.5563   002.5022   013.7100   001.0100   010.9232   001.3492
3C167      207.3119   001.1529     0.573300     0.010500   053.6898   003.7948   063.5000   003.1000   -04.9051   002.4500
3C293      054.6071   076.0603     0.013700     0.000600   001.6246   000.1907   001.6200   000.0600   000.0023   000.1000
3C98-2     179.8288   -31.0241     0.195500     0.004300   018.5393   001.3215   012.9600   000.5200   002.7897   000.7100
3C105      187.6326   -33.6090     0.397300     0.025400   037.3148   003.4721   018.5600   001.8700   009.3774   001.9718
3C120      190.3729   -27.3968     0.255400     0.001900   024.1124   001.6493   022.2200   002.2600   000.9462   001.3989
CTA21      166.6357   -33.5961     0.131100     0.004100   012.5475   000.9343   012.0800   000.4100   000.2338   000.5101
3C123      170.5817   -11.6610     0.861200     0.025200   080.4760   005.9839   024.5500   004.8000   027.9630   003.8356
4C20.33    020.1848   066.8341     0.036000     0.001000   003.6994   000.2953   003.4000   000.0700   000.1497   000.1517
T0556+19   190.0893   -02.1665     1.239400     0.063000   115.6638   009.8542   067.7900   040.3300   023.9369   020.7582
P1117+14   240.4380   065.7884     0.025000     0.000700   002.6760   000.2353   001.9800   000.0300   000.3480   000.1186
3C264.0    236.9959   073.6422     0.020100     0.000400   002.2201   000.2085   002.1900   000.0400   000.0151   000.1062
3C208.1    213.6015   033.5830     0.026900     0.002800   002.8528   000.3507   003.4900   000.0700   -00.3186   000.1788
3C208.0    213.6628   033.1608     0.028700     0.000900   003.0202   000.2574   003.7800   000.0600   -00.3799   000.1321
4C32.44    067.2335   081.0477     0.013300     0.000400   001.5874   000.1850   001.3600   000.0900   000.1137   000.1028
3C263.1    228.2701   074.3753     0.020000     0.000600   002.2108   000.2122   002.1200   000.0700   000.0454   000.1117
3C225b     220.0116   044.0083     0.046000     0.002700   004.6298   000.4185   004.1500   000.0800   000.2399   000.2130
3C410      069.2117   -03.7691     1.164700     0.015200   108.7137   007.5773   059.6900   006.6900   024.5118   005.0540
P0347+05   182.2737   -35.7311     0.238400     0.006700   022.5307   001.6537   017.0000   000.9700   002.7654   000.9586
3C272.1    280.6321   074.6873     0.034000     0.001800   003.5134   000.3176   003.0200   000.0500   000.2467   000.1607
3C225a     219.8664   044.0247     0.046700     0.003200   004.6950   000.4509   004.3000   000.1800   000.1975   000.2427
4C07.32    322.2286   068.8350     0.027100     0.000300   002.8714   000.2374   002.6700   000.0400   000.1007   000.1204
3C245      233.1247   056.3009     0.021500     0.000800   002.3504   000.2236   002.5700   000.0400   -00.1098   000.1136
3C93.1     160.0361   -15.9147     0.328700     0.014100   030.9322   002.4816   015.5700   001.3200   007.6811   001.4054
3C348      022.9710   029.1769     0.082100     0.001300   007.9886   000.5617   007.1900   000.2100   000.3993   000.2998
4C13.67    043.4971   009.1540     0.552600     0.013800   051.7639   003.7607   021.1300   001.1200   015.3170   001.9620
3C286      056.5241   080.6747     0.010000     0.000500   001.2804   000.1785   001.3400   000.0900   -00.0298   000.0999
4C13.65    039.3151   017.7180     0.118900     0.003900   011.4125   000.8570   011.5800   000.2100   -00.0838   000.4412
3C190.0    207.6242   021.8412     0.026300     0.000900   002.7970   000.2467   003.5600   000.0600   -00.3815   000.1269
P0320+05   176.9818   -40.8433     0.171400     0.002000   016.2971   001.1224   014.1600   000.6200   001.0685   000.6411
3C274.1    269.8744   083.1637     0.025200     0.000600   002.6946   000.2338   002.9800   000.0600   -00.1427   000.1207
3C207      212.9680   030.1390     0.075900     0.004200   007.4117   000.6431   006.6400   000.2000   000.3859   000.3367
T0629+10   201.5315   000.5079     1.566500     0.227800   146.0972   023.4400   074.8900   003.6800   035.6036   011.8635
4C12.50    347.2230   070.1718     0.028600     0.000500   003.0109   000.2473   002.3700   000.1100   000.3205   000.1353
4C04.51    007.2923   047.7470     0.043300     0.001200   004.3786   000.3386   004.5500   000.1300   -00.0857   000.1813
4C33.48    066.3887   008.3713     0.175500     0.002900   016.6785   001.1645   015.7600   003.0400   000.4593   001.6277
3C111      161.6756   -08.8197     1.421700     0.020500   132.6250   009.2841   036.4300   004.4200   048.0975   005.1413
J2232      077.4379   -38.5824     0.061200     0.001500   006.0440   000.4450   005.5000   000.4100   000.2720   000.3025
3C298      352.1602   060.6666     0.024900     0.000800   002.6667   000.2376   002.3900   000.3800   000.1383   000.2241
B2050      078.8581   -05.1238     0.046200     0.000600   004.6484   000.3404   033.8600   002.4200   -14.6058   001.2219
3C225B     220.0101   044.0084     0.046000     0.002700   004.6298   000.4185   004.5500   000.2100   000.0399   000.2341
3C225A     219.8662   044.0249     0.046700     0.003200   004.6950   000.4509   004.2400   000.3000   000.2275   000.2708
PKS0531    186.7617   -07.1076     0.302600     0.008500   028.5039   002.0952   028.8400   009.7200   -00.1680   004.9716
4C16.09    166.6357   -33.5959     0.131100     0.004100   012.5475   000.9343   012.1000   001.1300   000.2238   000.7331
3C48       133.9626   -28.7194     0.037700     0.000700   003.8576   000.2964   004.9500   000.4100   -00.5462   000.2530
3C327.1    012.1821   037.0047     0.114700     0.001800   011.0217   000.7687   008.7200   001.1800   001.1508   000.7041
3C147      161.6864   010.2984     0.225200     0.006700   021.3026   001.5764   020.5900   001.9500   000.3563   001.2537
3C459      083.0397   -51.2850     0.056400     0.000900   005.5975   000.4031   006.2900   000.4900   -00.3463   000.3173
3C345      063.4550   040.9489     0.011200     0.000600   001.3920   000.1840   001.0100   000.1300   000.1910   000.1126
