#  src           radiance       NHI     NH               NH-NHI
                 1e-11          1e20    1e20              1e20
====================================================================
0 3C33      	0.612065420569 	3.51 	2.56910669162 	-0.940893308379
1 3C64      	1.82798800097 	8.0 	7.48872945192 	-0.511270548081
2 3C78      	3.00596269653 	13.74 	12.2548150702 	-1.48518492982
3 3C98      	3.65614113207 	13.93 	14.8854370204 	0.955437020351
4 3C120      	5.08637242547 	22.22 	20.6721528334 	-1.54784716656
5 3C138      	4.87563227125 	26.43 	19.8194981695 	-6.61050183052
6 3C142.1      	7.09746871053 	27.76 	28.8090484028 	1.04904840279
7 3C192      	1.22375382716 	5.02 	5.0439979847 	0.0239979846975
8 3C237      	0.55198245974 	2.6 	2.32601103211 	-0.273988967892
9 3C245      	0.584083359456 	2.57 	2.45589127236 	-0.11410872764
10 P1055+20     0.52509030013 	1.98 	2.21720535432 	0.237205354325
11 3C273      	0.510232602835 	2.37 	2.15709111107 	-0.21290888893
12 3C274.1      0.676277664979 	2.98 	2.82890943251 	-0.151090567494
13 3C310      	0.946087368447 	4.69 	3.92055949274 	-0.769440507261
14 3C315      	1.20033092799 	6.03 	4.94922893463 	-1.08077106537
15 3C318      	1.58131143735 	6.0 	6.49067607551 	0.490676075513
16 3C333      	1.76053632117 	6.43 	7.21581995546 	0.78581995546
17 3C348      	2.02823670747 	7.19 	8.29893571844 	1.10893571844
18 4C13.65      4.0045466676 	11.58 	16.2950858171 	4.71508581712
19 3C234      	0.402382482889 	2.04 	1.72072952577 	-0.31927047423
20 3C236      	0.278365739348 	1.53 	1.2189577814 	-0.311042218598
21 3C267.0      0.766738992297 	2.95 	3.19491596283 	0.244915962834
22 DW0742+10    0.580633177094 	3.07 	2.44193183452 	-0.628068165477
23 3C293      	0.456085800238 	1.62 	1.93801314776 	0.318013147762
24 4C20.33      0.736143519475 	3.4 	3.0711266798 	-0.328873320203
25 P1117+14     0.650484039966 	1.98 	2.7245484257 	0.744548425701
26 3C264.0      0.817065952674 	2.19 	3.39853884452 	1.20853884452
27 4C32.44      0.385327751928 	1.36 	1.6517260843 	0.291726084302
28 3C263.1      0.541339559845 	2.12 	2.28294985913 	0.162949859134
29 3C272.1      0.634381294162 	3.02 	2.65939671618 	-0.360603283819
30 4C07.32      0.753960023303 	2.67 	3.14321225428 	0.473212254284
31 3C286      	0.300155136301 	1.34 	1.30711768148 	-0.0328823185248
32 4C12.50      0.995963418404 	2.37 	4.12235799086 	1.75235799086
33 3C298      	0.621246840637 	2.39 	2.60625471722 	0.216254717219
34 3C345      	0.385940346348 	1.01 	1.65420464132 	0.644204641324
