#  src           tau                    NHI     NH               NH-NHI
                                        1e20    1e20              1e20
===============================================================================
0 3C33      	2.16400394493e-06 	3.51 	3.19253865164 	-0.317461348359
1 3C64      	6.54800487609e-06 	8.0 	9.66022206525 	1.66022206525
2 3C78      	1.24539592434e-05 	13.74 	18.3732318713 	4.63323187133
3 3C98      	1.37192255352e-05 	13.93 	20.2398696612 	6.30986966119
4 3C120      	2.92593922495e-05 	22.22 	43.1661600706 	20.9461600706
5 3C138      	2.16258504224e-05 	26.43 	31.9044535524 	5.47445355243
6 3C142.1      	2.1525840566e-05 	27.76 	31.7569097678 	3.99690976776
7 3C192      	3.37904111802e-06 	5.02 	4.98507380269 	-0.0349261973091
8 3C237      	2.20945617002e-06 	2.6 	3.25959397553 	0.659593975527
9 3C245      	2.22426751861e-06 	2.57 	3.28144504607 	0.711445046073
10 P1055+20     1.10426515221e-06 	1.98 	1.6291140265 	-0.350885973499
11 3C273      	1.30441208057e-06 	2.37 	1.92438927602 	-0.445610723975
12 3C274.1      2.34332151194e-06 	2.98 	3.45708450192 	0.477084501921
13 3C310      	3.47655145561e-06 	4.69 	5.12893006617 	0.438930066167
14 3C315      	3.97782514483e-06 	6.03 	5.8684553483 	-0.161544651704
15 3C318      	4.14701707996e-06 	6.0 	6.11806293044 	0.11806293044
16 3C333      	5.69536950934e-06 	6.43 	8.40233555792 	1.97233555792
17 3C348      	5.70432166569e-06 	7.19 	8.41554260647 	1.22554260647
18 4C13.65      1.17957424663e-05 	11.58 	17.4021696388 	5.82216963879
19 3C234      	7.84869598647e-07 	2.04 	1.15791218221 	-0.882087817792
20 3C236      	6.95178528076e-07 	1.53 	1.02559162421 	-0.50440837579
21 3C267.0      1.58804698458e-06 	2.95 	2.34283370452 	-0.607166295478
22 DW0742+10    1.59615888151e-06 	3.07 	2.35480112471 	-0.715198875292
23 3C293      	1.31214721932e-06 	1.62 	1.93580086772 	0.315800867717
24 4C20.33      1.34473611979e-06 	3.4 	1.98387902608 	-1.41612097392
25 P1117+14     1.49992899878e-06 	1.98 	2.21283390659 	0.232833906591
26 3C264.0      1.636758725e-06 	2.19 	2.41469776671 	0.224697766711
27 4C32.44      8.06284276678e-07 	1.36 	1.18950509473 	-0.170494905271
28 3C263.1      9.77640752353e-07 	2.12 	1.44230600717 	-0.67769399283
29 3C272.1      1.72558770828e-06 	3.02 	2.54574649385 	-0.474253506149
30 4C07.32      2.32427510127e-06 	2.67 	3.42898547632 	0.758985476324
31 3C286      	8.13896804175e-07 	1.34 	1.20073579897 	-0.139264201035
32 4C12.50      2.19086314246e-06 	2.37 	3.2321638226 	0.862163822601
33 3C298      	1.29603404275e-06 	2.39 	1.9120292202 	-0.477970779799
34 3C345      	1.18440198094e-06 	1.01 	1.74733928378 	0.737339283777
