src        l            b       tau[1e-6]       err[1e-6]   N(H)       err       N(HI)      err        N(H2)      err
==========================================================================================================================
3C33       129.4481   -49.3244     2.164004     0.070978   003.1927   000.1776   003.5100   000.0600   -00.1587   000.0937
3C18       118.6218   -52.7266    11.339677     0.361182   016.7301   000.9215   007.5700   001.2000   004.5801   000.7565
3C141.0    174.5324   -01.3112    52.864409     1.067314   077.9941   003.8425   066.6000   001.9600   005.6971   002.1568
3C142.1    197.6157   -14.5115    21.525841     0.722035   031.7584   001.7809   027.7600   002.9200   001.9992   001.7101
3C138      187.4050   -11.3434    21.625850     0.811378   031.9059   001.8679   026.4300   002.8900   002.7380   001.7205
3C75-2     170.2958   -44.9192    11.571143     0.344047   017.0716   000.9199   010.4000   000.2800   003.3358   000.4808
3C75-1     170.2162   -44.9112    11.053841     0.347295   016.3084   000.8942   010.0700   000.2700   003.1192   000.4671
3C409      063.3981   -06.1216    44.239638     1.536508   065.2695   003.7071   031.6900   003.5300   016.7897   002.5595
3C33-1     129.4392   -49.3432     2.104213     0.086505   003.1045   000.1891   003.5500   000.1600   -00.2228   000.1238
3C79       164.1487   -34.4565     9.234413     0.370095   013.6241   000.8204   011.8400   001.3100   000.8920   000.7728
3C78       174.8581   -44.5133    12.453959     0.628049   018.3741   001.2411   013.7400   001.9300   002.3170   001.1473
3C98-1     179.8593   -31.0859    12.318421     0.374379   018.1741   000.9860   013.1100   000.4500   002.5321   000.5419
3C75       170.2558   -44.9111    10.869135     0.357409   016.0359   000.8930   009.9700   000.2400   003.0330   000.4623
T0526+24   181.3551   -05.1933    74.498428     2.433400   109.9121   006.1063   122.4200   082.2100   -06.2539   041.2182
3C133      177.7259   -09.9122    62.708299     1.682736   092.5174   004.8425   035.9800   004.0500   028.2687   003.1564
3C132      178.8598   -12.5219    30.767878     0.873839   045.3937   002.4132   030.1000   001.6400   007.6469   001.4589
3C131      171.4368   -07.7967    56.167864     1.646731   082.8679   004.4465   036.0900   002.1000   023.3890   002.4587
3C310      038.5004   060.2098     3.476551     0.150159   005.1292   000.3197   004.6900   000.1300   000.2196   000.1726
3C315      039.3605   058.3030     3.977825     0.093012   005.8687   000.2973   006.0300   000.4800   -00.0806   000.2823
3C109      181.8280   -27.7769    37.557082     1.300999   055.4103   003.1440   026.3200   001.2900   014.5451   001.6992
