src         l           b          ebv           err        N(H)     err         N(HI)      err          N(H2)   err
==========================================================================================================================
3C33       129.4481   -49.3244     0.023100     0.001700   002.5033   000.2698   003.5100   000.0600   -00.5034   000.1382
3C64       157.7658   -48.2032     0.079500     0.003300   007.7505   000.6150   008.0000   000.2400   -00.1247   000.3301
3C78       174.8581   -44.5130     0.147900     0.002400   014.1142   000.9841   013.7400   001.9300   000.1871   001.0832
3C98       179.8374   -31.0490     0.193000     0.005400   018.3102   001.3411   013.9300   000.5300   002.1901   000.7210
3C120      190.3728   -27.3973     0.255400     0.001900   024.1156   001.6490   022.2200   002.2600   000.9478   001.3988
3C138      187.4052   -11.3437     0.253700     0.017100   023.9575   002.2768   026.4300   002.8900   -01.2363   001.8395
3C142.1    197.6157   -14.5115     0.281600     0.014500   026.5532   002.2543   027.7600   002.9200   -00.6034   001.8445
3C192      197.9126   026.4098     0.047100     0.001300   004.7361   000.3622   005.0200   000.0700   -00.1419   000.1844
3C237      232.1174   046.6276     0.017100     0.000400   001.9450   000.1983   002.6000   000.2300   -00.3275   000.1518
3C245      233.1247   056.3009     0.021500     0.000800   002.3544   000.2245   002.5700   000.0400   -00.1078   000.1140
P1055+20   222.5101   063.1302     0.021100     0.000800   002.3172   000.2230   001.9800   000.0500   000.1686   000.1143
3C273      289.9484   064.3586     0.017900     0.000400   002.0195   000.2012   002.3700   000.1900   -00.1753   000.1384
3C274.1    269.8744   083.1637     0.025200     0.000600   002.6986   000.2346   002.9800   000.0600   -00.1407   000.1211
3C310      038.5004   060.2098     0.034800     0.001500   003.5918   000.3081   004.6900   000.1300   -00.5491   000.1672
3C315      039.3605   058.3030     0.053000     0.000700   005.2850   000.3806   006.0300   000.4800   -00.3725   000.3063
3C318      029.9821   054.7856     0.053900     0.001400   005.3688   000.4019   006.0000   000.2000   -00.3156   000.2245
3C333      037.3001   042.9721     0.075600     0.001100   007.3877   000.5193   006.4300   000.4200   000.4788   000.3340
3C348      022.9710   029.1769     0.082100     0.001300   007.9924   000.5619   007.1900   000.2100   000.4012   000.2999
4C13.65    039.3151   017.7180     0.118900     0.003900   011.4162   000.8571   011.5800   000.2100   -00.0819   000.4412
3C234      200.2050   052.7049     0.016300     0.000300   001.8706   000.1940   002.0400   000.0500   -00.0847   000.1002
3C236      190.0640   053.9808     0.009700     0.000400   001.2566   000.1767   001.5300   000.0500   -00.1367   000.0918
3C267.0    256.3418   070.1102     0.028500     0.000800   003.0057   000.2544   002.9500   000.0500   000.0278   000.1296
DW0742+10  209.7960   016.5911     0.021900     0.000500   002.3916   000.2185   003.0700   000.0600   -00.3392   000.1133
3C293      054.6071   076.0603     0.013700     0.000600   001.6287   000.1918   001.6200   000.0600   000.0044   000.1005
4C20.33    020.1848   066.8341     0.036000     0.001000   003.7034   000.2959   003.4000   000.0700   000.1517   000.1520
P1117+14   240.4380   065.7884     0.025000     0.000700   002.6800   000.2361   001.9800   000.0300   000.3500   000.1190
3C264.0    236.9959   073.6422     0.020100     0.000400   002.2241   000.2095   002.1900   000.0400   000.0171   000.1066
4C32.44    067.2335   081.0477     0.013300     0.000400   001.5915   000.1861   001.3600   000.0900   000.1158   000.1033
3C263.1    228.2701   074.3753     0.020000     0.000600   002.2148   000.2132   002.1200   000.0700   000.0474   000.1122
3C272.1    280.6321   074.6873     0.034000     0.001800   003.5174   000.3182   003.0200   000.0500   000.2487   000.1610
4C07.32    322.2286   068.8350     0.027100     0.000300   002.8754   000.2382   002.6700   000.0400   000.1027   000.1208
3C286      056.5241   080.6747     0.010000     0.000500   001.2845   000.1796   001.3400   000.0900   -00.0278   000.1004
4C12.50    347.2230   070.1718     0.028600     0.000500   003.0150   000.2481   002.3700   000.1100   000.3225   000.1357
3C298      352.1602   060.6666     0.024900     0.000800   002.6707   000.2384   002.3900   000.3800   000.1404   000.2243
3C345      063.4550   040.9489     0.011200     0.000600   001.3961   000.1851   001.0100   000.1300   000.1931   000.1131
