src         l           b      radiance[1e11]   errRad[1e11]   N(H)   err        N(HI)      err            N(H2)   err
==========================================================================================================================
3C33       129.4481   -49.3244     0.612065     0.025031   002.5689   000.3045   003.5100   000.0600   -00.4706   000.1552
3C64       157.7658   -48.2032     1.827988     0.106308   007.4934   000.7561   008.0000   000.2400   -00.2533   000.3966
3C78       174.8581   -44.5130     3.005963     0.195161   012.2641   001.2626   013.7400   001.9300   -00.7379   001.1531
3C98       179.8374   -31.0490     3.656141     0.149469   014.8974   001.3339   013.9300   000.5300   000.4837   000.7177
3C120      190.3728   -27.3973     5.086372     0.363931   020.6898   002.2058   022.2200   002.2600   -00.7651   001.5790
3C138      187.4052   -11.3437     4.875632     0.272752   019.8363   001.9232   026.4300   002.8900   -03.2968   001.7357
3C142.1    197.6157   -14.5115     7.097469     0.252456   028.8347   002.4996   027.7600   002.9200   000.5374   001.9219
3C192      197.9126   026.4098     1.223754     0.032579   005.0462   000.4635   005.0200   000.0700   000.0131   000.2344
3C237      232.1174   046.6276     0.551982     0.019090   002.3255   000.2851   002.6000   000.2300   -00.1372   000.1832
3C245      233.1247   056.3009     0.584083     0.022877   002.4555   000.2960   002.5700   000.0400   -00.0572   000.1493
P1055+20   222.5101   063.1302     0.525090     0.011333   002.2166   000.2728   001.9800   000.0500   000.1183   000.1387
3C273      289.9484   064.3586     0.510233     0.025350   002.1564   000.2851   002.3700   000.1900   -00.1068   000.1713
3C274.1    269.8744   083.1637     0.676278     0.017382   002.8289   000.3097   002.9800   000.0600   -00.0755   000.1577
3C310      038.5004   060.2098     0.946087     0.048417   003.9217   000.4174   004.6900   000.1300   -00.3842   000.2186
3C315      039.3605   058.3030     1.200331     0.038461   004.9513   000.4647   006.0300   000.4800   -00.5393   000.3340
3C318      029.9821   054.7856     1.581311     0.060281   006.4943   000.5998   006.0000   000.2000   000.2472   000.3161
3C333      037.3001   042.9721     1.760536     0.084694   007.2202   000.6922   006.4300   000.4200   000.3951   000.4048
3C348      022.9710   029.1769     2.028237     0.057577   008.3044   000.7209   007.1900   000.2100   000.5572   000.3754
4C13.65    039.3151   017.7180     4.004547     0.136911   016.3084   001.4120   011.5800   000.2100   002.3642   000.7138
3C234      200.2050   052.7049     0.402382     0.010378   001.7196   000.2499   002.0400   000.0500   -00.1602   000.1274
3C236      190.0640   053.9808     0.278366     0.009660   001.2174   000.2314   001.5300   000.0500   -00.1563   000.1184
3C267.0    256.3418   070.1102     0.766739     0.016494   003.1953   000.3298   002.9500   000.0500   000.1226   000.1668
DW0742+10  209.7960   016.5911     0.580633     0.014353   002.4416   000.2864   003.0700   000.0600   -00.3142   000.1463
3C293      054.6071   076.0603     0.456086     0.026671   001.9371   000.2776   001.6200   000.0600   000.1586   000.1420
4C20.33    020.1848   066.8341     0.736144     0.017313   003.0714   000.3233   003.4000   000.0700   -00.1643   000.1654
P1117+14   240.4380   065.7884     0.650484     0.016331   002.7245   000.3030   001.9800   000.0300   000.3722   000.1522
3C264.0    236.9959   073.6422     0.817066     0.024847   003.3991   000.3501   002.1900   000.0400   000.6046   000.1762
4C32.44    067.2335   081.0477     0.385328     0.008447   001.6506   000.2459   001.3600   000.0900   000.1453   000.1309
3C263.1    228.2701   074.3753     0.541340     0.012246   002.2824   000.2767   002.1200   000.0700   000.0812   000.1427
3C272.1    280.6321   074.6873     0.634381     0.077878   002.6592   000.4299   003.0200   000.0500   -00.1804   000.2164
4C07.32    322.2286   068.8350     0.753960     0.024128   003.1435   000.3345   002.6700   000.0400   000.2368   000.1684
3C286      056.5241   080.6747     0.300155     0.014745   001.3056   000.2385   001.3400   000.0900   -00.0172   000.1275
4C12.50    347.2230   070.1718     0.995963     0.035264   004.1237   000.4075   002.3700   000.1100   000.8768   000.2111
3C298      352.1602   060.6666     0.621247     0.022192   002.6060   000.3028   002.3900   000.3800   000.1080   000.2430
3C345      063.4550   040.9489     0.385940     0.020685   001.6531   000.2576   001.0100   000.1300   000.3215   000.1443
