src          l          b           tau         er         nh          er         nhi        nhier       nh2       nh2er
==========================================================================================================================
3C33       129.4481   -49.3244     2.164004     0.070978   003.1927   000.1776   003.5100   000.0600   -00.1587   000.0937
3C64       157.7658   -48.2032     6.548005     0.345226   009.6607   000.6693   008.0000   000.2400   000.8303   000.3555
3C78       174.8581   -44.5130    12.453959     0.628049   018.3741   001.2411   013.7400   001.9300   002.3170   001.1473
3C98       179.8374   -31.0490    13.719226     0.406442   020.2408   001.0895   013.9300   000.5300   003.1554   000.6058
3C120      190.3728   -27.3973    29.259392     1.075208   043.1682   002.5060   022.2200   002.2600   010.4741   001.6873
3C138      187.4052   -11.3437    21.625850     0.811378   031.9059   001.8679   026.4300   002.8900   002.7380   001.7205
3C142.1    197.6157   -14.5115    21.525841     0.722035   031.7584   001.7809   027.7600   002.9200   001.9992   001.7101
3C192      197.9126   026.4098     3.379041     0.078504   004.9853   000.2522   005.0200   000.0700   -00.0173   000.1309
3C237      232.1174   046.6276     2.209456     0.038234   003.2597   000.1570   002.6000   000.2300   000.3299   000.1392
3C245      233.1247   056.3009     2.224268     0.059192   003.2816   000.1714   002.5700   000.0400   000.3558   000.0880
P1055+20   222.5101   063.1302     1.104265     0.029262   001.6292   000.0850   001.9800   000.0500   -00.1754   000.0493
3C273      289.9484   064.3586     1.304412     0.085313   001.9245   000.1527   002.3700   000.1900   -00.2228   000.1219
3C274.1    269.8744   083.1637     2.343322     0.015144   003.4572   000.1570   002.9800   000.0600   000.2386   000.0840
3C310      038.5004   060.2098     3.476551     0.150159   005.1292   000.3197   004.6900   000.1300   000.2196   000.1726
3C315      039.3605   058.3030     3.977825     0.093012   005.8687   000.2973   006.0300   000.4800   -00.0806   000.2823
3C318      029.9821   054.7856     4.147017     0.189734   006.1183   000.3924   006.0000   000.2000   000.0592   000.2202
3C333      037.3001   042.9721     5.695370     0.268494   008.4027   000.5473   006.4300   000.4200   000.9864   000.3449
3C348      022.9710   029.1769     5.704322     0.146202   008.4159   000.4354   007.1900   000.2100   000.6130   000.2417
4C13.65    039.3151   017.7180    11.795742     0.389079   017.4030   000.9701   011.5800   000.2100   002.9115   000.4963
3C234      200.2050   052.7049     0.784870     0.031538   001.1580   000.0698   002.0400   000.0500   -00.4410   000.0429
3C236      190.0640   053.9808     0.695179     0.029936   001.0256   000.0638   001.5300   000.0500   -00.2522   000.0405
3C267.0    256.3418   070.1102     1.588047     0.043070   002.3429   000.1230   002.9500   000.0500   -00.3035   000.0664
DW0742+10  209.7960   016.5911     1.596159     0.031155   002.3549   000.1154   003.0700   000.0600   -00.3575   000.0650
3C293      054.6071   076.0603     1.312147     0.090369   001.9359   000.1592   001.6200   000.0600   000.1579   000.0851
4C20.33    020.1848   066.8341     1.344736     0.052002   001.9840   000.1176   003.4000   000.0700   -00.7080   000.0684
P1117+14   240.4380   065.7884     1.499929     0.044384   002.2129   000.1191   001.9800   000.0300   000.1165   000.0614
3C264.0    236.9959   073.6422     1.636759     0.079256   002.4148   000.1595   002.1900   000.0400   000.1124   000.0822
4C32.44    067.2335   081.0477     0.806284     0.022234   001.1896   000.0627   001.3600   000.0900   -00.0852   000.0548
3C263.1    228.2701   074.3753     0.977641     0.036308   001.4424   000.0841   002.1200   000.0700   -00.3388   000.0547
3C272.1    280.6321   074.6873     1.725588     0.278553   002.5459   000.4266   003.0200   000.0500   -00.2371   000.2148
4C07.32    322.2286   068.8350     2.324275     0.062974   003.4291   000.1799   002.6700   000.0400   000.3796   000.0922
3C286      056.5241   080.6747     0.813897     0.049023   001.2008   000.0902   001.3400   000.0900   -00.0696   000.0637
4C12.50    347.2230   070.1718     2.190863     0.114272   003.2323   000.2225   002.3700   000.1100   000.4312   000.1241
3C298      352.1602   060.6666     1.296034     0.072952   001.9121   000.1377   002.3900   000.3800   -00.2389   000.2021
3C345      063.4550   040.9489     1.184402     0.068281   001.7474   000.1277   001.0100   000.1300   000.3687   000.0911
