                                                                 OH1665                                                                                                      OH1667
#  src      l  	       b        tau    	    tau_er       v0      v0_er   wid     wid_er   tex    tex_er    noh     noh_er    tau        tau_er 	    v0        v0_er   wid    wid_er   tex    tex_er    noh   noh_er
                                                        [km/s]   [km/s]  [km/s]  [km/s]   [K]     [K]      [e14]   [e14]                            [km/s]   [km/s]  [km/s]  [km/s]   [K]     [K]      [e14]   [e14]     
===================================================================================================================================================================================================================
3C105      187.633   -33.609    0.015812    0.0002939   8.138    0.009   0.966   0.021   4.932    0.499   0.3212   0.2584   0.0268419   0.0002847   8.166    0.005   0.958   0.012   3.963    0.344   0.241    0.1279
3C105      187.633   -33.609    0.0062469   0.0002829   10.231   0.023   1.03    0.054   8.491    1.263   0.2329   0.4385   0.0107031   0.0002718   10.257   0.013   1.027   0.03    7.641    0.879   0.1987   0.221
3C109      181.828   -27.777    0.002194    0.0003178   9.162    0.103   0.997   0.245   23.683   3.661   0.221    0.7319   0.0035857   0.0003611   9.219    0.073   1.023   0.172   24.135   2.501   0.2094   0.3648
3C109      181.828   -27.777    0.0035205   0.0003245   10.441   0.063   0.954   0.147   14.763   2.334   0.2115   0.5648   0.0056513   0.0003597   10.583   0.046   1.04    0.11    13.918   1.575   0.1935   0.2924
3C123      170.581   -11.661    0.0191465   0.0007513   3.649    0.058   1.19    0.115   11.084   1.79    1.0767   1.2616   0.0347368   0.0011837   3.712    0.056   1.223   0.103   11.197   1.256   1.1261   0.6855
3C123      170.581   -11.661    0.0430802   0.0023207   4.432    0.009   0.527   0.027   6.423    1.221   0.6213   0.5712   0.0919201   0.0039662   4.457    0.006   0.53    0.019   7.307    0.749   0.8424   0.2889
3C123      170.581   -11.661    0.0337756   0.0007923   5.365    0.014   0.917   0.036   11.618   1.11    1.5343   0.801    0.0783549   0.0011803   5.471    0.008   0.918   0.02    8.128    0.612   1.3838   0.3742
3C131      171.437   -7.797     0.0064957   0.0005257   4.549    0.02    0.562   0.057   12.67    1.53    0.1974   0.2968   0.0102917   0.0006081   4.556    0.016   0.622   0.046   7.512    1.043   0.1137   0.1561
3C131      171.437   -7.797     0.0073968   0.0005714   6.804    0.059   2.969   0.196   10.465   0.862   0.98     0.944    0.0110533   0.0005292   6.678    0.055   3.318   0.153   11.083   0.593   0.9619   0.4941
3C131      171.437   -7.797     0.0166821   0.0006997   6.595    0.01    0.418   0.024   2.662    0.841   0.0791   0.1937   0.0259313   0.0007737   6.582    0.008   0.433   0.019   4.154    0.583   0.1105   0.0965
