n   src      vrange1    vrange2    tbg65    tbg67     tbg_off65    tbg_off67
==========================================================================
2   3C105       733        1023       3.41378  3.41378   52.233       52.203
3   3C109       806        951        3.52802  3.52802   47.02        46.955
6   3C123       966        1023       25.0     25.0      89.050       90.550
7   3C131       733        1169       3.70722  3.70722   51.075       51.149
8   3C132       821        994        3.53922  3.53922   71.9116      72.190
9   3C133       733        1169       3.66690  3.66690   71.760       72.045
14  3C154       923        1125       3.72515  3.72515   74.740       74.185
16  3C167       733        1023       3.81251  3.81251   74.887       74.565
18  3C18        879        1460       3.44514  3.44514   70.8917      71.391
22  3C207       733        1169       3.23905  3.23905   71.5475      71.650
52  3C409       733        1169       4.54053  4.54053   78.106       78.395
53  3C410       777        1023       4.51589  4.51589   80.670       80.795
54  3C454.3     879        1460       3.57058  3.57058   76.9706      77.176
59  3C75        879        1461       3.52578  3.52578   79.343       79.340
69  4C13.67     850        1067       4.45317  4.45317   73.65        74.34
74  4C22.12     966        1140       3.77443  3.77443   70.2825      71.315
79  G196.6+0.2  850        1096       3.85059  3.85059   70.3206      70.855
80  G197.0+1.1  893        1009       3.81699  3.81699   70.605       70.8955
87  P0428+20    806        1023       3.54818  3.54818   47.2555      47.417
94  T0526+24    850        994        3.74979  3.74979   69.78        69.70
95  T0629+10    879        1053       3.66018  3.66018   71.158       71.828
