# src (21)      l                 b             e(-t)_RMS               tau_rms         EM_RMS (K)
=======================================================================================================
2 3C105 	187.633 	-33.609 	0.0465567649033 	0.000753985 	0.0212042495844
3 3C109 	181.828 	-27.7769 	0.050237423049 		0.000848053 	0.0262255391542
6 3C123 	170.581 	-11.6607 	0.676762359291 		0.00127054 	0.165956377583
7 3C131 	171.437 	-7.79669 	0.0431888423562 	0.000904464 	0.0228126058701
8 3C132 	178.86 		-12.5219 	0.0356327267759 	0.000709835 	0.0332056108807
9 3C133 	177.726 	-9.91241 	0.0524423351818 	0.000711869 	0.0274331989899
14 3C154 	185.593 	4.00309 	0.0890083014158 	0.00130049 	0.0518460659886
16 3C167 	207.312 	1.15292 	0.113514955073 		0.00568872 	0.0854273626342
18 3C18 	118.622 	-52.7265 	0.0454271398374 	0.000761024 	0.0274238875207
22 3C207 	212.968 	30.139 		0.0196597126458 	0.000472976 	0.0152419479617
52 3C409 	63.3983 	-6.12197 	0.132229140146 		0.000687844 	0.0436084432842
53 3C410 	69.2088 	-3.76807 	0.0831819317084 	0.00056183 	0.0376951648517
54 3C454.3 	86.1108 	-38.1831 	0.0711530230761 	0.000290998 	0.0281156241662
59 3C75 	170.256 	-44.9112 	0.039092731742 		0.00101047 	0.0307647978711
69 4C13.67 	43.4969 	9.15431 	0.197293003986 		0.0106085 	0.17576776461
74 4C22.12 	188.052 	0.0470513 	0.0541310849925 	0.00222208 	0.0534544456318
79 G196.6+0.2 	196.64 		0.167617 	0.0595346165621 	0.00186361 	0.0602449879937
80 G197.0+1.1 	196.983 	1.10338 	0.0538515237411 	0.00147824 	0.0540925560299
87 P0428+20 	176.808 	-18.5568 	0.0426397075874 	0.000589058 	0.018038756933
88 P0531+19 	186.763 	-7.10848 	0.0607578496126 	0.000583091 	0.0296317395873
94 T0526+24 	181.355 	-5.19333 	0.260902343374 		0.01979 	0.198893458847
96 T0629+10 	201.532 	0.507878 	0.0331173704003 	0.000940211 	0.0260159782082
