 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name    OH_compnt
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
===========================================================================================================================
  0.72   0.04    0.004   -10.0  -12.6  1.0   53.58  2.70   180.00  -88.8   62746      0.75  -9   0.50  0.29  3C18     -   
 16.71  -88.8    0.669   0.011   -8.9  0.0    2.43  0.03    34.25   7.89     129      1.09   1  -77.7 -77.7  3C18     0,1 
 19.80  -88.8    0.077   0.019   -6.7  0.2    8.62  0.70   267.80   5.28    1625      3.46   0  -77.7 -77.7  3C18     -   
  8.09  -88.8    0.181   0.018   -5.7  0.1    3.98  0.25    48.75   9.41     346      0.69   2  -77.7 -77.7  3C18     -
 17.93  -88.8    0.682   0.006  -10.4  0.0    2.32  0.02    36.26   4.06     117      1.12   0  -77.7 -77.7  3C75     0  
  9.56   0.16    0.009   -10.0  -10.0  0.1    9.79  0.18  1010.00  -88.8    2095      1.82  -9   0.49  0.29  3C75     -  
  3.33  -88.8    0.095   0.004   -5.8  0.1    2.74  0.12    36.89   3.43     163      0.19   1  -77.7 -77.7  3C75     -  
 11.02  -88.8    0.113   0.003    5.3  0.1    5.19  0.13   103.57   6.97     589      1.18   2  -77.7 -77.7  3C75     - 
 14.09   0.21    0.010   -10.0    5.7  0.0   13.05  0.15  1400.00  -88.8    3720      3.58  -9   0.50  0.29  3C75     -
  4.54  -88.8    0.057   0.004   -2.0  0.2    4.37  0.44    81.35   5.69     416      0.40   3  -77.7 -77.7  3C105    - 
  6.85   0.40    0.019   -10.0    6.5  0.2   24.41  0.69   370.00  -88.8   13021      3.26  -9   0.49  0.29  3C105    -  
 25.63  -88.8    2.103   0.054    8.3  0.0    1.81  0.04    29.20  11.94      71      2.17   2  -77.7 -77.7  3C105    0  
 24.86  -88.8    0.169   0.012    8.4  0.1    9.47  0.44   159.93   4.41    1960      4.98   1  -77.7 -77.7  3C105    - 
 33.06  -88.8    2.883   0.075   10.5  0.0    1.97  0.04    35.02   9.58      84      3.87   0  -77.7 -77.7  3C105    1
 10.31   1.04    0.041   -10.0    0.8  0.2    4.53  0.53   250.00  -88.8     448      0.91  -9   0.50  0.29  3C109    - 
