i, src1[i]       taucnm1[i]     sigtaucnm1[i]   taucnm2[i]      sigtaucnm2[i]  tspincnm1[i]   sigtspincnm1[i]  tspincnm2[i]  sigtspincnm2[i] continuum_em1[i]
#   src          tau1            tau1_er         tau2            tau2_er        tex1             tex1_er        tex2            tex2_er          tbg
=======================================================================================================================================================
0 3C105 	0.015812 	0.000293858 	0.0268419 	0.000284729 	4.17341 	0.24929 	3.68853 	0.172211 	3.41378
1 3C105 	0.00624688 	0.000282858 	0.0107031 	0.000271793 	5.95356 	0.631158 	5.52763 	0.439315 	3.41378
2 3C109 	0.00219404 	0.000317813 	0.00358575 	0.000361058 	13.6053 	1.83045 	13.8313 	1.25063 	3.52802
3 3C109 	0.00352055 	0.000324485 	0.00565129 	0.000359735 	9.14547 	1.16686 	8.72299 	0.787675 	3.52802
4 3C123 	0.0191465 	0.000751282 	0.0347368 	0.00118373 	18.0419 	0.894994 	18.0986 	0.62806 	25.0
5 3C123 	0.0430802 	0.00232072 	0.0919201 	0.00396616 	15.7113 	0.610703 	16.1537 	0.374728 	25.0
6 3C123 	0.0337756 	0.000792253 	0.0783549 	0.00118031 	18.3091 	0.555242 	16.5638 	0.3061 		25.0
7 3C131 	0.00649567 	0.000525742 	0.0102917 	0.000608101 	8.18882 	0.764777 	5.60985 	0.521682 	3.70722
8 3C131 	0.0073968 	0.000571401 	0.0110533 	0.000529208 	7.08596 	0.43107 	7.39497 	0.296719 	3.70722
9 3C131 	0.0166821 	0.000699721 	0.0259313 	0.000773726 	3.18437 	0.420523 	3.93055 	0.291528 	3.70722
10 3C131 	0.0521163 	0.00070901 	0.0858444 	0.000747915 	4.36635 	0.123649 	4.56967 	0.0799797 	3.70722
11 3C132 	0.00325712 	0.000249602 	0.005611 	0.00028854 	9.6278 		1.03947 	13.3186 	0.634578 	3.53922
12 3C133 	0.100867 	0.00101756 	0.213229 	0.00157303 	3.32021 	0.110069 	2.49699 	0.618873 	3.6669
13 3C133 	0.014829 	0.000965349 	0.0332783 	0.00146751 	4.78308 	1.70685 	4.88799 	1.11071 	3.6669
14 3C154 	0.0265674 	0.000605817 	0.0427861 	0.0007291 	3.16551 	0.285472 	3.20678 	0.176616 	3.72515
15 3C154 	0.00996968 	0.000539355 	0.017876 	0.000603296 	4.93522 	0.715895 	4.21291 	0.369014 	3.72515
16 3C154 	0.00375136 	0.000444656 	0.00542093 	0.000484282 	5.17022 	1.61244 	2.91271 	0.994548 	3.72515
17 3C167 	0.0108681 	0.00187694 	0.0108402 	0.00133474 	4.342 		1.11703 	4.23237 	0.747181 	3.81251
18 3C18 	0.0029677 	0.000285645 	0.00595191 	0.00032005 	7.18852 	0.994808 	6.83254 	0.428495 	3.44514
19 3C18 	0.00559787 	0.000428684 	0.00780152 	0.000452317 	2.74523 	1.01746 	1.0 		0.0 		3.44514
20 3C207 	0.0152021 	0.000212024 	0.0267883 	0.00024987 	3.20432 	0.208506 	2.90569 	0.102334 	3.23905
21 3C409 	0.00615087 	0.000652101 	0.00566192 	0.000833113 	7.95694 	0.95102 	0.0303189 	25.262 		4.54053
22 3C409 	0.0199191 	0.00117289 	0.0272541 	0.00156508 	2.35318 	0.427871 	0.2 		0.0 		4.54053
23 3C410 	0.0120793 	0.000277429 	0.0249786 	0.000394237 	6.95899 	0.484887 	4.41418 	0.212838 	4.51589
24 3C410 	0.00431505 	0.000348654 	0.00837027 	0.000501399 	7.88882 	1.65738 	4.46929 	0.777362 	4.51589
25 3C410 	0.00534158 	0.000311878 	0.0113566 	0.00049689 	5.13025 	1.22064 	3.7177 		0.570627 	4.51589
26 3C454.3 	0.00230923 	8.71881e-05 	0.00443793 	0.000107394 	4.09248 	1.07103 	5.90861 	0.610933 	3.57058
27 3C75 	0.00715191 	0.00032443 	0.0141605 	0.000349537 	3.58434 	0.545759 	3.71543 	0.301801 	3.52578
28 4C13.67 	0.0474083 	0.00366141 	0.0569575 	0.00400874 	7.43941 	0.448295 	7.41192 	0.30942 	4.45317
29 4C22.12 	0.00585788 	0.000940254 	0.010316 	0.000970268 	5.34373 	1.17556 	5.26237 	0.639574 	3.77443
30 4C22.12 	0.0172332 	0.00109901 	0.0355612 	0.00116597 	4.22146 	0.477075 	3.78561 	0.227902 	3.77443
31 G196.6+0.2 	0.00433149 	0.000544445 	0.0065005 	0.000517213 	7.39821 	1.17074 	6.35149 	0.621072 	3.85059
32 G197.0+1.1 	0.0123512 	0.000483474 	0.0187646 	0.000660288 	4.50905 	0.324609 	4.66152 	0.253332 	3.81699
33 G197.0+1.1 	0.0056982 	0.000822082 	0.00748269 	0.00105941 	1.0 		0.0 		1.0 		0.0 		3.81699
34 G197.0+1.1 	0.00527818 	0.000619963 	0.00943454 	0.00169733 	6.28628 	0.955518 	5.44356 	0.670172 	3.81699
35 G197.0+1.1 	0.00687909 	0.000795863 	0.0124232 	0.000967787 	4.58225 	0.941452 	5.48178 	0.449307 	3.81699
36 G197.0+1.1 	0.0236505 	0.00087463 	0.0427951 	0.00115523 	3.61228 	0.310011 	4.08317 	0.194312 	3.81699
37 P0428+20 	0.00148528 	0.000238908 	0.00294065 	0.000312987 	8.42407 	2.04732 	4.05431 	1.28046 	3.54818
38 P0428+20 	0.00758102 	0.000235765 	0.01365 	0.000260015 	8.41964 	0.3942 		7.62892 	0.227065 	3.54818
39 T0526+24 	0.0157538 	0.0058001 	0.0358867 	0.00585424 	8.66058 	1.38937 	6.97857 	0.599863 	3.74979
40 T0629+10 	0.003976 	0.00261674 	0.0112695 	0.00225307 	3.87684 	1.14569 	4.02991 	1.04899 	3.66018
41 T0629+10 	0.0384279 	0.0148621 	0.0769122 	0.0046022 	2.10813 	0.328003 	4.76118 	1.48812 	3.66018
42 T0629+10 	0.0167906 	0.00157459 	0.0206143 	0.00343762 	2.56956 	0.231661 	0.5 		0.0 		3.66018
43 T0629+10 	0.160293 	0.0319961 	0.214671 	0.00450366 	2.98251 	0.0647214 	3.44169 	0.11764 	3.66018
44 T0629+10 	0.0813624 	0.00201132 	0.10045 	0.00438829 	2.42679 	0.143808 	3.08369 	0.248039 	3.66018
45 T0629+10 	0.0750561 	0.00185814 	0.1011 		0.00429544 	3.69899 	0.0978 		3.23154 	0.237717 	3.66018
46 T0629+10 	0.0372524 	0.00307232 	0.0744161 	0.00362855 	3.9726 		0.14625 	2.67129 	0.297417 	3.66018
47 T0629+10 	0.0174059 	0.00181768 	0.0295316 	0.00247774 	3.60246 	0.228606 	2.23428 	0.692129 	3.66018
